id,tagid,description,type,mode
1,90101,w1,w,c
2,90102,w2,w,c
3,90103,w3,w,c
4,90104,w4,w,c
5,90105,w5,w,c
6,90106,w6,w,c
7,90107,w7,w,c
8,90108,w8,w,c
9,90109,w9,w,c
10,90110,w10,w,c
11,90111,w11,w,c
12,90112,w12,w,c
1,90201,m1,m,c
2,90202,m2,m,c
3,90203,m3,m,c
4,90204,m4,m,c
5,90205,m5,m,c
6,90206,m6,m,c
7,90207,m7,m,c
8,90208,m8,m,c
9,90209,m9,m,c
10,90210,m10,m,c
11,90211,m11,m,c
12,90212,m12,m,c
13,90213,m13,m,c
14,90214,m14,m,c
15,90215,m15,m,c
16,90216,m16,m,c
17,90217,m17,m,c
18,90218,m18,m,c
19,90219,m19,m,c
20,90220,m20,m,c
21,90221,m21,m,c
22,90222,m22,m,c
23,90223,m23,m,c
24,90224,m24,m,c
1,90301,y1,y,c
2,90302,y2,y,c
3,90303,y3,y,c
